order_id,order_date,customer_id,customer_name,product_id,category,product_name,sales,quantity,discount,profit
ORD-100093,2020-01-04,CUST-9392,Customer_353,PROD-609,Technology,Monitor,150.46,2,0.2,109.48
ORD-100094,2020-01-04,CUST-4104,Customer_68,PROD-434,Technology,Chair,304.95,7,0.2,-7.17
ORD-100095,2020-01-04,CUST-8215,Customer_173,PROD-564,Technology,Chair,486.55,5,0.18,9.77
ORD-100096,2020-01-05,CUST-3454,Customer_492,PROD-240,Furniture,Laptop,477.49,5,0,48.18
ORD-100097,2020-01-05,CUST-9996,Customer_331,PROD-682,Furniture,Printer,121.32,2,0.25,107.69
ORD-100098,2020-01-05,CUST-3731,Customer_125,PROD-236,Furniture,Table,159.37,7,0.28,27.68
ORD-100099,2020-01-05,CUST-9154,Customer_170,PROD-710,Office Supplies,Chair,27.67,2,0.16,100.38
ORD-100100,2020-01-05,CUST-6056,Customer_47,PROD-762,Furniture,Table,205.42,5,0.03,37.31
ORD-100101,2020-01-05,CUST-9110,Customer_261,PROD-786,Technology,Phone,418.99,5,0.2,14.47
ORD-100102,2020-01-05,CUST-4840,Customer_217,PROD-266,Technology,Laptop,458.72,3,0.11,163.76
ORD-100103,2020-01-05,CUST-2028,Customer_305,PROD-442,Office Supplies,Monitor,125.88,2,0.02,45.74
ORD-100104,2020-01-05,CUST-8385,Customer_124,PROD-509,Technology,Table,140.24,3,0.26,179.59
ORD-100105,2020-01-05,CUST-1502,Customer_293,PROD-868,Technology,Table,118.22,5,0.21,26.39
ORD-100106,2020-01-05,CUST-7910,Customer_162,PROD-835,Technology,Table,181.55,6,0.24,85.72
ORD-100107,2020-01-05,CUST-7938,Customer_201,PROD-979,Furniture,Table,404.33,4,0.24,-36.6
ORD-100108,2020-01-05,CUST-5488,Customer_454,PROD-941,Furniture,Table,326.96,7,0.11,120.07
ORD-100109,2020-01-05,CUST-1206,Customer_402,PROD-164,Technology,Monitor,395.11,2,0.14,148.87
ORD-100110,2020-01-05,CUST-6134,Customer_462,PROD-680,Technology,Laptop,295.69,6,0.07,192.85
ORD-100111,2020-01-05,CUST-6977,Customer_275,PROD-166,Technology,Phone,136.29,9,0.23,159.15
ORD-100112,2020-01-05,CUST-8721,Customer_206,PROD-532,Technology,Table,121.72,5,0.16,28.13
ORD-100113,2020-01-05,CUST-8035,Customer_40,PROD-149,Furniture,Table,14.41,4,0.2,89.15
ORD-100114,2020-01-05,CUST-2484,Customer_273,PROD-413,Office Supplies,Phone,392.68,9,0.11,97.97
ORD-100115,2020-01-05,CUST-8858,Customer_188,PROD-408,Technology,Chair,425.09,6,0.2,-35.8
ORD-100116,2020-01-05,CUST-1863,Customer_355,PROD-702,Furniture,Chair,386.46,4,0.2,-31.84
ORD-100117,2020-01-05,CUST-3790,Customer_93,PROD-214,Technology,Monitor,46.46,1,0.23,31.45
ORD-100118,2020-01-05,CUST-8408,Customer_42,PROD-985,Office Supplies,Laptop,383.49,9,0.05,136.11
ORD-100119,2020-01-05,CUST-9755,Customer_465,PROD-668,Furniture,Laptop,32.43,3,0.19,21.38
ORD-100120,2020-01-06,CUST-6116,Customer_379,PROD-441,Furniture,Printer,61.74,6,0.26,168.53
ORD-100121,2020-01-06,CUST-7019,Customer_107,PROD-629,Office Supplies,Laptop,225.83,1,0.03,111.25
ORD-100122,2020-01-06,CUST-2757,Customer_328,PROD-883,Office Supplies,Monitor,243.31,6,0.29,67.03
ORD-100123,2020-01-06,CUST-8574,Customer_65,PROD-741,Furniture,Phone,409.9,3,0.06,85.14
ORD-100124,2020-01-06,CUST-7374,Customer_365,PROD-594,Office Supplies,Table,342.97,3,0.28,32.86
ORD-100125,2020-01-06,CUST-7892,Customer_309,PROD-368,Technology,Phone,85.13,7,0.26,193.48
ORD-100126,2020-01-06,CUST-2678,Customer_484,PROD-179,Office Supplies,Monitor,120.81,9,0.23,-6.01
ORD-100127,2020-01-06,CUST-4242,Customer_135,PROD-555,Office Supplies,Printer,149.98,6,0.06,165.1
ORD-100128,2020-01-06,CUST-5636,Customer_494,PROD-398,Furniture,Desk,70.6,1,0.06,119.54
ORD-100129,2020-01-06,CUST-2059,Customer_389,PROD-921,Office Supplies,Monitor,150.95,9,0.08,127.89
ORD-100130,2020-01-06,CUST-7668,Customer_24,PROD-301,Furniture,Monitor,367.01,5,0.24,158.95
ORD-100131,2020-01-06,CUST-4157,Customer_28,PROD-602,Technology,Desk,128.29,2,0.06,-15.94
ORD-100132,2020-01-06,CUST-6915,Customer_62,PROD-836,Office Supplies,Phone,419.33,3,0.17,123.79
ORD-100133,2020-01-06,CUST-3693,Customer_491,PROD-770,Office Supplies,Desk,240.06,5,0.23,144.07
ORD-100134,2020-01-06,CUST-4627,Customer_273,PROD-815,Furniture,Monitor,168.24,2,0.14,196.15
ORD-100135,2020-01-06,CUST-6450,Customer_229,PROD-748,Furniture,Monitor,212.08,3,0.25,136.89
ORD-100136,2020-01-06,CUST-2663,Customer_20,PROD-584,Office Supplies,Desk,357.65,8,0.17,187.94
ORD-100137,2020-01-06,CUST-6592,Customer_3,PROD-684,Furniture,Monitor,263.23,6,0.18,162.43
ORD-100138,2020-01-06,CUST-8392,Customer_421,PROD-659,Office Supplies,Printer,13.57,2,0.2,168.92
ORD-100139,2020-01-06,CUST-2306,Customer_218,PROD-117,Technology,Monitor,461.94,2,0.25,179.23
ORD-100140,2020-01-06,CUST-7776,Customer_399,PROD-577,Office Supplies,Monitor,42.34,1,0,82.79
ORD-100141,2020-01-06,CUST-6864,Customer_307,PROD-587,Technology,Table,469.92,7,0.12,127.75
ORD-100142,2020-01-06,CUST-8526,Customer_432,PROD-878,Technology,Laptop,23.79,6,0.29,-19.01
ORD-100143,2020-01-06,CUST-9901,Customer_136,PROD-545,Furniture,Laptop,387.78,6,0.03,39.11
ORD-100144,2020-01-07,CUST-6575,Customer_397,PROD-439,Furniture,Desk,271.99,5,0.07,169.85
ORD-100145,2020-01-07,CUST-6530,Customer_432,PROD-630,Furniture,Chair,257.81,3,0.17,194.42
ORD-100146,2020-01-07,CUST-5413,Customer_3,PROD-711,Furniture,Printer,45.66,8,0.26,-22.08
ORD-100147,2020-01-07,CUST-4748,Customer_193,PROD-215,Office Supplies,Table,126.99,3,0.03,96.53
ORD-100148,2020-01-07,CUST-1663,Customer_73,PROD-957,Technology,Table,391,5,0,133.65
ORD-100149,2020-01-07,CUST-2998,Customer_415,PROD-173,Office Supplies,Desk,446.72,8,0.21,79.02
ORD-100150,2020-01-07,CUST-8994,Customer_361,PROD-891,Technology,Chair,269.27,3,0.18,8.24
ORD-100151,2020-01-07,CUST-2495,Customer_118,PROD-368,Technology,Chair,183.14,5,0.08,-39.57
ORD-100152,2020-01-07,CUST-4304,Customer_154,PROD-736,Technology,Table,39.37,6,0.29,187.87
ORD-100153,2020-01-07,CUST-4763,Customer_209,PROD-215,Office Supplies,Printer,344.27,1,0.17,9.21
ORD-100154,2020-01-07,CUST-6232,Customer_440,PROD-785,Furniture,Laptop,146.44,2,0.2,24.78
ORD-100155,2020-01-07,CUST-2853,Customer_34,PROD-792,Office Supplies,Table,36.96,7,0.11,110.7
ORD-100156,2020-01-07,CUST-7585,Customer_137,PROD-837,Technology,Monitor,336.27,9,0.28,57.16
ORD-100157,2020-01-07,CUST-2291,Customer_318,PROD-768,Office Supplies,Table,248,4,0.08,55.87
ORD-100158,2020-01-07,CUST-4581,Customer_120,PROD-263,Technology,Monitor,15.86,5,0.22,-29.35
ORD-100159,2020-01-07,CUST-8554,Customer_115,PROD-682,Furniture,Phone,64.35,4,0.03,197.97
ORD-100160,2020-01-07,CUST-8280,Customer_13,PROD-321,Furniture,Chair,352.61,3,0.16,21.1
ORD-100161,2020-01-07,CUST-2636,Customer_69,PROD-225,Office Supplies,Phone,41.2,2,0.17,-22.5
ORD-100162,2020-01-07,CUST-4696,Customer_425,PROD-756,Furniture,Phone,434.32,3,0.06,120.39
ORD-100163,2020-01-07,CUST-1698,Customer_333,PROD-275,Technology,Printer,162.55,2,0.1,138.05
ORD-100164,2020-01-07,CUST-5737,Customer_257,PROD-763,Technology,Table,53.45,8,0.05,-43.66
ORD-100165,2020-01-07,CUST-1854,Customer_89,PROD-793,Furniture,Laptop,382.28,1,0.25,17.31
ORD-100166,2020-01-07,CUST-9164,Customer_47,PROD-474,Furniture,Monitor,266.97,5,0.2,-1.41
ORD-100167,2020-01-07,CUST-6855,Customer_260,PROD-958,Furniture,Monitor,160.25,1,0.13,147.19
ORD-100168,2020-01-08,CUST-8392,Customer_228,PROD-597,Office Supplies,Printer,208.99,5,0.17,-4.06
ORD-100169,2020-01-08,CUST-7528,Customer_447,PROD-184,Office Supplies,Chair,20.49,3,0.1,8.81
ORD-100170,2020-01-08,CUST-6249,Customer_180,PROD-975,Technology,Laptop,334.72,9,0.13,196.71
ORD-100171,2020-01-08,CUST-6172,Customer_10,PROD-482,Office Supplies,Table,189.23,1,0.19,125.53
ORD-100172,2020-01-08,CUST-2707,Customer_284,PROD-732,Office Supplies,Desk,359.88,1,0.06,46.91
ORD-100173,2020-01-08,CUST-6791,Customer_377,PROD-740,Technology,Laptop,317.8,8,0.04,138.46
ORD-100174,2020-01-08,CUST-6535,Customer_126,PROD-562,Technology,Monitor,329.11,3,0.28,66.62
ORD-100175,2020-01-08,CUST-5931,Customer_134,PROD-550,Furniture,Printer,398.52,7,0.07,3.17
ORD-100176,2020-01-08,CUST-4510,Customer_155,PROD-617,Furniture,Printer,319.27,5,0.15,71.99
ORD-100177,2020-01-08,CUST-1202,Customer_248,PROD-945,Office Supplies,Phone,215.18,2,0.23,143.01
ORD-100178,2020-01-08,CUST-5218,Customer_140,PROD-794,Technology,Table,201.06,7,0.17,-5.42
ORD-100179,2020-01-08,CUST-9958,Customer_318,PROD-649,Office Supplies,Desk,68.6,7,0.19,71.38
ORD-100180,2020-01-08,CUST-5389,Customer_436,PROD-215,Office Supplies,Table,391.93,3,0.05,-20.17
ORD-100181,2020-01-08,CUST-3327,Customer_176,PROD-713,Technology,Laptop,382.94,6,0.12,160.67
ORD-100182,2020-01-08,CUST-9004,Customer_323,PROD-107,Technology,Desk,130.69,5,0.21,154.7
ORD-100183,2020-01-08,CUST-3931,Customer_174,PROD-317,Technology,Table,432.71,1,0.06,118.36
ORD-100184,2020-01-08,CUST-8777,Customer_481,PROD-818,Technology,Phone,298.61,1,0.15,180.01
ORD-100185,2020-01-08,CUST-1197,Customer_74,PROD-689,Office Supplies,Desk,244.56,2,0.18,49.99
ORD-100186,2020-01-08,CUST-8125,Customer_351,PROD-979,Office Supplies,Desk,18.57,7,0.24,-17.01
ORD-100187,2020-01-08,CUST-2930,Customer_143,PROD-503,Office Supplies,Laptop,197.54,3,0.06,193.91
ORD-100188,2020-01-08,CUST-7287,Customer_455,PROD-666,Technology,Desk,323.93,9,0.29,78.27
ORD-100189,2020-01-08,CUST-9800,Customer_292,PROD-403,Furniture,Phone,53.98,3,0.29,68.88
ORD-100190,2020-01-08,CUST-5282,Customer_398,PROD-566,Office Supplies,Chair,235.19,4,0,-34.07
ORD-100191,2020-01-08,CUST-3511,Customer_112,PROD-839,Furniture,Chair,496.78,8,0.11,92.59
ORD-100192,2020-01-09,CUST-1659,Customer_206,PROD-187,Furniture,Printer,361.1,4,0.02,111.19
ORD-100193,2020-01-09,CUST-3811,Customer_131,PROD-109,Furniture,Chair,277.97,7,0.1,68.3
ORD-100194,2020-01-09,CUST-8098,Customer_369,PROD-407,Technology,Laptop,271.19,5,0.18,177.6
ORD-100195,2020-01-09,CUST-7546,Customer_110,PROD-533,Technology,Printer,31.44,6,0.18,135.59
ORD-100196,2020-01-09,CUST-2986,Customer_370,PROD-901,Office Supplies,Chair,479.08,8,0.03,-40.34
ORD-100197,2020-01-09,CUST-9338,Customer_67,PROD-263,Office Supplies,Chair,464.81,4,0.2,85.64
ORD-100198,2020-01-09,CUST-3911,Customer_382,PROD-338,Technology,Printer,344.38,6,0.25,198.42
ORD-100199,2020-01-09,CUST-2734,Customer_86,PROD-416,Technology,Laptop,58.52,2,0.19,-0.06
ORD-100200,2020-01-09,CUST-2843,Customer_275,PROD-755,Furniture,Printer,111.84,9,0.09,104.29
ORD-100201,2020-01-09,CUST-9680,Customer_227,PROD-434,Technology,Monitor,100.12,9,0,18.37
ORD-100202,2020-01-09,CUST-3976,Customer_460,PROD-117,Technology,Monitor,264.59,6,0.19,42.87
ORD-100203,2020-01-09,CUST-2959,Customer_438,PROD-170,Technology,Laptop,111.82,6,0.2,-41.59
ORD-100204,2020-01-09,CUST-6759,Customer_325,PROD-274,Technology,Laptop,350.94,7,0.21,121.98
ORD-100205,2020-01-09,CUST-7694,Customer_10,PROD-953,Furniture,Table,277.16,4,0.01,141.43
ORD-100206,2020-01-09,CUST-3385,Customer_489,PROD-899,Office Supplies,Phone,18.65,7,0.15,143.23
ORD-100207,2020-01-09,CUST-5736,Customer_417,PROD-910,Furniture,Chair,374.59,1,0.12,192.64
ORD-100208,2020-01-09,CUST-2802,Customer_397,PROD-438,Technology,Table,102.53,7,0.23,159.47
ORD-100209,2020-01-09,CUST-9155,Customer_384,PROD-347,Technology,Chair,414.19,1,0.22,1.9
ORD-100210,2020-01-09,CUST-9120,Customer_355,PROD-292,Office Supplies,Table,183.97,8,0.29,7.64
ORD-100211,2020-01-09,CUST-7616,Customer_435,PROD-518,Office Supplies,Desk,175.92,6,0.27,142
ORD-100212,2020-01-09,CUST-6534,Customer_288,PROD-424,Office Supplies,Monitor,15.79,1,0.17,144.23
ORD-100213,2020-01-09,CUST-5061,Customer_459,PROD-405,Furniture,Printer,493.99,1,0.29,-19.24
ORD-100214,2020-01-09,CUST-1262,Customer_112,PROD-879,Office Supplies,Table,309.88,4,0.05,-48.34
ORD-100215,2020-01-09,CUST-7287,Customer_486,PROD-303,Technology,Monitor,217.14,7,0,50.35
ORD-100216,2020-01-10,CUST-9815,Customer_24,PROD-952,Technology,Phone,57.34,5,0.03,123.67
ORD-100217,2020-01-10,CUST-3049,Customer_291,PROD-222,Technology,Chair,352.58,5,0.11,166.67
ORD-100218,2020-01-10,CUST-6423,Customer_339,PROD-669,Furniture,Desk,148.54,8,0.23,-8.67
ORD-100219,2020-01-10,CUST-5548,Customer_326,PROD-950,Office Supplies,Phone,494.26,2,0.11,153.82
ORD-100220,2020-01-10,CUST-4108,Customer_168,PROD-546,Office Supplies,Laptop,475.77,4,0.23,121.11
ORD-100221,2020-01-10,CUST-8158,Customer_438,PROD-812,Office Supplies,Chair,370.3,4,0.22,-8.51
ORD-100222,2020-01-10,CUST-8400,Customer_109,PROD-590,Office Supplies,Monitor,485.83,8,0.24,168.32
ORD-100223,2020-01-10,CUST-4170,Customer_428,PROD-532,Technology,Table,61.76,6,0.06,183.25
ORD-100224,2020-01-10,CUST-3255,Customer_190,PROD-723,Furniture,Printer,147.16,9,0.15,16.45
ORD-100225,2020-01-10,CUST-2154,Customer_490,PROD-227,Office Supplies,Phone,134.09,9,0.21,-12.83
ORD-100226,2020-01-10,CUST-5499,Customer_355,PROD-647,Technology,Monitor,45.29,4,0.09,191.91
ORD-100227,2020-01-10,CUST-7295,Customer_196,PROD-845,Technology,Desk,486.39,7,0.25,-44.28
ORD-100228,2020-01-10,CUST-7197,Customer_33,PROD-921,Furniture,Printer,39.39,3,0.23,187.1
ORD-100229,2020-01-10,CUST-2648,Customer_205,PROD-146,Office Supplies,Laptop,429.78,6,0.04,4.06
ORD-100230,2020-01-10,CUST-6539,Customer_312,PROD-604,Furniture,Printer,386.4,1,0.07,59.53
ORD-100231,2020-01-10,CUST-5199,Customer_420,PROD-214,Office Supplies,Monitor,194.17,5,0.07,27.09
ORD-100232,2020-01-10,CUST-9445,Customer_182,PROD-515,Furniture,Monitor,19.22,6,0.26,-11.57
ORD-100233,2020-01-10,CUST-3557,Customer_491,PROD-866,Office Supplies,Desk,12.99,5,0.06,38.12
ORD-100234,2020-01-10,CUST-6592,Customer_147,PROD-322,Office Supplies,Laptop,109.96,7,0.19,84.81
ORD-100235,2020-01-10,CUST-1098,Customer_427,PROD-735,Furniture,Desk,252,4,0.02,-26.54
ORD-100236,2020-01-10,CUST-3200,Customer_268,PROD-602,Office Supplies,Monitor,234.38,5,0.17,152.29
ORD-100237,2020-01-10,CUST-3961,Customer_11,PROD-771,Furniture,Chair,296.79,4,0.04,150.1
ORD-100238,2020-01-10,CUST-5973,Customer_70,PROD-195,Furniture,Desk,388.26,9,0.17,149.37
ORD-100239,2020-01-10,CUST-5433,Customer_256,PROD-206,Office Supplies,Printer,194.9,2,0.11,121.61
ORD-100240,2020-01-11,CUST-3869,Customer_396,PROD-731,Office Supplies,Monitor,88.58,1,0.18,63.82
ORD-100241,2020-01-11,CUST-1956,Customer_219,PROD-712,Furniture,Chair,402.02,4,0.12,158.43
ORD-100242,2020-01-11,CUST-9352,Customer_297,PROD-714,Technology,Chair,173.02,6,0.26,162.96
ORD-100243,2020-01-11,CUST-6699,Customer_409,PROD-777,Furniture,Phone,150.57,8,0.23,21.36
ORD-100244,2020-01-11,CUST-7944,Customer_362,PROD-797,Technology,Printer,384.51,4,0.25,70.24
ORD-100245,2020-01-11,CUST-5493,Customer_259,PROD-131,Technology,Printer,467.73,1,0.07,0.74
